programa;codigo;nome;tipo;produto;unidadeMedida;metaFisica
1202;2602;Atendimento Socioeducativo a Adolescentes;ATIVIDADE;Adolescente atendido;Pessoa;2600
1202;1603;Ampliacao de Vagas do Sistema Penal;PROJETO;Vaga criada;Vaga;3000
1301;2701;Conservacao e Manutencao da Malha Rodoviaria Estadual;ATIVIDADE;Rodovia conservada;Quilometro;22000
1301;1702;Restauracao e Pavimentacao de Rodovias Estaduais;PROJETO;Rodovia pavimentada ou restaurada;Quilometro;1200
1301;1703;Construcao de Pontes, Viadutos e Obras de Arte Especiais;PROJETO;Obra de arte entregue;Unidade;60
1302;2801;Gestao do Sistema de Transporte Intermunicipal;ATIVIDADE;Linha fiscalizada;Linha;2800
1302;1802;Infraestrutura Logistica Ferroviaria, Portuaria e Aeroportuaria;PROJETO;Obra logistica entregue;Unidade;12
1302;1803;Mobilidade Urbana e Metropolitana;PROJETO;Obra de mobilidade entregue;Unidade;25
1401;2901;Assistencia Tecnica e Extensao Rural;ATIVIDADE;Familia rural atendida;Familia;95000
1401;2902;Seguranca Alimentar e Nutricional;ATIVIDADE;Familia beneficiada;Familia;150000
1401;1903;Apoio a Infraestrutura Rural e ao Cooperativismo;PROJETO;Municipio atendido;Municipio;250
1402;2911;Defesa Sanitaria Animal e Vegetal;ATIVIDADE;Estabelecimento fiscalizado;Unidade;140000
1501;3001;Gestao Ambiental, Licenciamento e Fiscalizacao;ATIVIDADE;Licenca e fiscalizacao processada;Unidade;60000
1501;3002;Gestao de Recursos Hidricos e Seguranca Hidrica;ATIVIDADE;Bacia hidrografica monitorada;Unidade;16
1501;1003;Conservacao da Biodiversidade e Unidades de Conservacao;PROJETO;Unidade de conservacao estruturada;Unidade;70
1601;3101;Protecao Social Basica e Especial;ATIVIDADE;Familia atendida;Familia;320000
1601;3102;Transferencia de Renda e Beneficios Eventuais;ATIVIDADE;Familia beneficiada;Familia;180000
1601;3103;Promocao e Defesa de Direitos Humanos e da Cidadania;ATIVIDADE;Atendimento realizado;Atendimento;85000
1701;3201;Fomento a Pesquisa Cientifica e Tecnologica;ATIVIDADE;Projeto apoiado;Projeto;900
1701;3202;Inovacao, Startups e Parques Tecnologicos;ATIVIDADE;Empresa apoiada;Empresa;1200
1801;3301;Atracao de Investimentos e Apoio ao Setor Produtivo;ATIVIDADE;Empresa atendida;Empresa;3500
1801;3302;Qualificacao Profissional e Intermediacao de Mao de Obra;ATIVIDADE;Trabalhador qualificado;Pessoa;60000
1901;3401;Fomento a Cultura e Preservacao do Patrimonio;ATIVIDADE;Projeto cultural apoiado;Projeto;1500
1901;3402;Esporte, Lazer e Rendimento;ATIVIDADE;Atleta e cidadao atendido;Pessoa;250000
1901;3403;Promocao e Desenvolvimento do Turismo;ATIVIDADE;Destino promovido;Destino;40
2001;3501;Producao e Melhoria Habitacional;ATIVIDADE;Familia atendida;Familia;25000
2001;1502;Apoio a Infraestrutura Urbana dos Municipios;PROJETO;Municipio atendido;Municipio;399
2101;3601;Governo Digital e Servicos Publicos Digitais;ATIVIDADE;Servico digitalizado;Servico;600
2101;3602;Infraestrutura de Dados e Conectividade do Estado;ATIVIDADE;Orgao conectado;Orgao;100
2201;3701;Administracao Tributaria e Fiscalizacao da Receita Estadual;ATIVIDADE;Contribuinte fiscalizado;Contribuinte;45000
2201;3702;Planejamento, Orcamento e Gestao de Convenios;ATIVIDADE;Instrumento gerido;Unidade;3000
2201;3703;Controle Interno e Transparencia;ATIVIDADE;Auditoria realizada;Auditoria;350
2301;3801;Processo Legislativo e Fiscalizacao Politico-Administrativa;ATIVIDADE;Proposicao apreciada;Unidade;2400
2301;3802;Controle Externo da Administracao Publica;ATIVIDADE;Prestacao de contas julgada;Unidade;1800
2301;3803;Prestacao Jurisdicional;ATIVIDADE;Processo julgado;Processo;2200000
2301;3804;Defesa da Ordem Juridica e do Regime Democratico;ATIVIDADE;Procedimento instaurado;Unidade;420000
2301;3805;Assistencia Juridica Integral e Gratuita;ATIVIDADE;Atendimento realizado;Atendimento;600000
2301;3806;Representacao Judicial e Consultoria Juridica do Estado;ATIVIDADE;Processo acompanhado;Processo;180000
